"","id","country","c3","c2","year","gini","gem1","ge0","ge1","ge2","a025","a050","a075","a1","a2","palma","ratio_top20bottom20","bottom40","q1","q2","q3","q4","q5","d1","d2","d3","d4","d5","d6","d7","d8","d9","d10","bottom5","top5","resource","resource_detailed","scale","scale_detailed","sharing_unit","reference_unit","areacovr","areacovr_detailed","popcovr","popcovr_detailed","region_un","region_un_sub","region_wb","eu","oecd","incomegroup","mean","median","currency","reference_period","exchangerate","mean_usd","median_usd","gdp","population","revision","quality","quality_score","source","source_detailed","source_comments","survey","link","wiidcompanion"
"11",11,"Albania","ALB","AL",2016,33.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,5.61,19.18,7.33,11.85,16.44,23.28,41.11,2.96,4.37,5.43,6.42,7.54,8.9,10.53,12.75,16.08,25.03,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",3163,2599,"US$2011PPP","Year",NA,NA,NA,12548,2886427,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"12",12,"Albania","ALB","AL",2017,33.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,5.42,19.49,7.52,11.97,16.51,23.26,40.74,3.07,4.45,5.47,6.5,7.6,8.91,10.56,12.7,15.97,24.77,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",3142,2579,"US$2011PPP","Year",NA,NA,NA,13037,2884169,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"13",13,"Algeria","DZA","DZ",1988,40.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,7.21,17.28,6.54,10.74,14.93,20.64,47.15,2.7,3.84,4.87,5.87,6.9,8.03,9.4,11.24,14.34,32.81,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Africa","Northern Africa","Middle East and North Africa","Non-EU","Non-OECD","Lower middle income",2425,1804,"US$2011PPP","Year",NA,NA,NA,9031,24443472,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"14",14,"Algeria","DZA","DZ",1995,35.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,6.11,18.52,6.97,11.55,16.24,22.63,42.62,2.87,4.09,5.22,6.33,7.48,8.76,10.29,12.34,15.73,26.89,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Africa","Northern Africa","Middle East and North Africa","Non-EU","Non-OECD","Lower middle income",2310,1869,"US$2011PPP","Year",NA,NA,NA,7935,28757788,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"15",15,"Algeria","DZA","DZ",2012,27.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,3.98,23.02,9.36,13.66,17.47,22.29,37.22,4.05,5.31,6.36,7.31,8.24,9.23,10.39,11.9,14.36,22.86,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Africa","Northern Africa","Middle East and North Africa","Non-EU","Non-OECD","Lower middle income",2997,2613,"US$2011PPP","Year",NA,NA,NA,11234,37383900,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"16",16,"Andorra","AND","AD",2001,26.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Consumption","Consumption","Equivalized","Equivalized","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","High income",NA,NA,NA,NA,NA,NA,NA,NA,67344,"New 2018","High",11,"National statistical authority","Andorra Ministry of Finance",NA,"l’Enquesta de Pressupostos Familiars (EPF)",NA,"Yes"
"17",17,"Andorra","AND","AD",2002,26.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Consumption","Consumption","Equivalized","Equivalized","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","High income",NA,NA,NA,NA,NA,NA,NA,NA,70048,"New 2018","High",11,"National statistical authority","Andorra Ministry of Finance",NA,"l’Enquesta de Pressupostos Familiars (EPF)",NA,"Yes"
"18",18,"Andorra","AND","AD",2003,27.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.99,3.78,23.7,9.9,13.8,17.1,21.8,37.4,4.3,5.6,6.5,7.3,8.1,9,10.2,11.6,14,23.4,NA,NA,"Consumption","Consumption","Equivalized","Equivalized","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","High income",17266,14668,"Euro","Year",NA,NA,NA,NA,73180,"New 2018","High",13,"National statistical authority","Andorra Ministry of Finance",NA,"l’Enquesta de Pressupostos Familiars (EPF)",NA,"Yes"
"19",19,"Andorra","AND","AD",2016,27.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3.91,23.1,9.7,13.4,16.8,22.3,37.9,4.3,5.4,6.3,7.1,7.9,8.9,10.2,12.1,14.9,23,NA,NA,"Consumption","Consumption","Equivalized","Equivalized","Household","Person","All","All","All","All","Europe","Southern Europe","Europe and Central Asia","Non-EU","Non-OECD","High income",NA,NA,NA,NA,NA,NA,NA,NA,77295,"New 2019","High",13,"National statistical authority","Andorra Ministry of Finance",NA,"l’Enquesta de Pressupostos Familiars (EPF)","https://www.estadistica.ad/serveiestudis/publicacions/Publicacions/Prestacions%20socials.pdf","Yes"
"20",21,"Angola","AGO","AO",2001,51.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.65,17.65,11.02,3.18,7.84,12.71,20.16,56.12,0.98,2.2,3.34,4.49,5.66,7.05,8.81,11.35,15.87,40.25,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Africa","Middle Africa","Sub-Saharan Africa","Non-EU","Non-OECD","Lower middle income",1497,947,"US$2011PPP","Year",NA,NA,NA,4767,16945754,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"21",22,"Angola","AGO","AO",2009,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.67,10,3,7,12,19,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Income (net/gross)","Income, net/gross","Per capita","Per capita","Household","Person","All","All","All","All","Africa","Middle Africa","Sub-Saharan Africa","Non-EU","Non-OECD","Lower middle income",105204,NA,"Angolan kwanza","Month",0.0126058629868752,NA,NA,7643,22514276,"New 2013","High",10,"National statistical authority","Angola Instituto Nacional de Estatistica",NA,"Integrated Survey on the Welfare of Population (IBEP)",NA,"No"
"22",29,"Angola","AGO","AO",2019,51.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.46,14.78,11.44,3.76,7.68,12.57,20.44,55.56,1.33,2.43,3.33,4.34,5.58,6.98,8.87,11.57,15.94,39.62,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Africa","Middle Africa","Sub-Saharan Africa","Non-EU","Non-OECD","Lower middle income",1067,666,"US$2011PPP","Year",NA,NA,NA,6670,31825298,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"23",30,"Argentina","ARG","AR",1953,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,6.77,18.1,7.4,10.7,13.6,18.2,50.1,3.2,4.2,5,5.7,6.4,7.2,8.3,9.9,13,37.1,NA,NA,"Income (net)","Monetary income, net","No adjustment","No adjustment","Household","Household","All","All","All","All","Americas","South America","Latin America and the Caribbean","Non-EU","Non-OECD","Upper middle income",NA,21288,"Argentine peso","Month",NA,NA,NA,10717,18094290,NA,"Low",12,"United Nations","Altimir 1986","UNECLAC. Compilation. Based on National Accounts",NA,NA,"Yes"
"24",32,"Argentina","ARG","AR",1959,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.61,8.06,16.2,6.8,9.4,12.3,16.7,54.8,3,3.8,4.4,5,5.8,6.5,7.6,9.1,12.5,42.3,NA,NA,"Income (net)","Monetary income, net","No adjustment","No adjustment","Household","Household","All","All","All","All","Americas","South America","Latin America and the Caribbean","Non-EU","Non-OECD","Upper middle income",NA,112824,"Argentine peso","Month",NA,NA,NA,11524,20146306,NA,"Low",12,"United Nations","Altimir 1986","UNECLAC. Compilation. Based on National Accounts",NA,NA,"Yes"
"25",34,"Argentina","ARG","AR",1961,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,7.41,17.3,7,10.3,13.2,17.6,51.9,2.9,4.1,4.8,5.5,6.2,7,8,9.6,12.9,39,NA,NA,"Income (net)","Monetary income, net","No adjustment","No adjustment","Household","Household","All","All","All","All","Americas","South America","Latin America and the Caribbean","Non-EU","Non-OECD","Upper middle income",NA,163680,"Argentine peso","Month",NA,NA,NA,12889,20817270,NA,"Low",12,"United Nations","Altimir 1986","UNECLAC. Compilation. Based on National Accounts",NA,NA,"No (overlapping observation)"
"26",54,"Argentina","ARG","AR",1972,35.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51,6.83,18.3,6.3,12,16.6,22.1,43,2.2,4.1,5.4,6.6,7.7,8.9,10.1,12,15.3,27.7,NA,NA,"Income (net)","Monetary income, net","No adjustment","No adjustment","Household","Household","All","All","All","All","Americas","South America","Latin America and the Caribbean","Non-EU","Non-OECD","Upper middle income",NA,11712,"Argentine peso","Month",4.999999999e-11,NA,NA,16788,24653172,NA,"Low",12,"United Nations","Altimir 1986","UNECLAC. Compilation","Encuesta Nacional de Hogares",NA,"No"
"27",183,"Argentina","ARG","AR",2009,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Americas","South America","Latin America and the Caribbean","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,0.269534017665728,NA,NA,21520,40482784,"New 2013","High",11,"Research study","Commitment to Equity Project",NA,NA,NA,"No"
"28",227,"Armenia","ARM","AM",1986,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earnings","Earnings, gross","No adjustment","No adjustment","Person","Person","All","All","Specific categories","Employed, state sector","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,NA,NA,NA,5568,3392264,NA,"Average",5,"Research study","Atkinson and Micklewright 1992",NA,"March Census",NA,"No"
"29",228,"Armenia","ARM","AM",1988,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Income (gross)","Income, gross","Per capita","Per capita","Family","Person","All","All","All","All","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",1500,NA,"Armenian ruble","Month",NA,NA,NA,4983,3504667,NA,"Average",11,"Research study","Alexeev and Gaddy 1993",NA,"Family Budget Survey",NA,"Yes"
"30",229,"Armenia","ARM","AM",1989,25.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Income (gross)","Income, gross","Per capita","Per capita","Family","Person","All","All","Specific categories","Mostly families of state sector and collective farm employees","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",1618,1452,"Armenian ruble","Month",NA,NA,NA,5639,3536473,NA,"Average",10,"Research study","Atkinson and Micklewright 1992",NA,"Family Budget Survey",NA,"No"
"31",231,"Armenia","ARM","AM",1990,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Income (gross)","Income, gross","Per capita","Per capita","Family","Person","All","All","All","All","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",2028,NA,"Armenian ruble","Month",NA,NA,NA,5180,3538164,NA,"Average",11,"Research study","Alexeev and Gaddy 1993",NA,"Family Budget Survey",NA,"Yes"
"32",232,"Armenia","ARM","AM",1991,29.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earnings","Earnings, gross","No adjustment","No adjustment","Person","Person","All","All","Economically active","Employed","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,NA,NA,NA,4617,3505249,NA,"Average",5,"United Nations","UNICEF 2004","Transformative Monitoring for Enhanced Equity (TransMonEE)",NA,NA,"No"
"33",233,"Armenia","ARM","AM",1992,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earnings","Earnings, gross","No adjustment","No adjustment","Person","Person","All","All","Economically active","Employed","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,NA,NA,NA,2736,3442820,NA,"Average",5,"United Nations","UNICEF 2004","Transformative Monitoring for Enhanced Equity (TransMonEE)",NA,NA,"No"
"34",234,"Armenia","ARM","AM",1993,36.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earnings","Earnings, gross","No adjustment","No adjustment","Person","Person","All","All","Economically active","Employed","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,0.109829763866008,NA,NA,2554,3363111,NA,"Average",5,"United Nations","UNICEF 2004","Transformative Monitoring for Enhanced Equity (TransMonEE)",NA,NA,"No"
"35",235,"Armenia","ARM","AM",1994,32.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earnings","Earnings, gross","No adjustment","No adjustment","Person","Person","All","All","Economically active","Employed","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,0.00346439325482634,NA,NA,2757,3283664,NA,"Average",5,"United Nations","UNICEF 2004","Transformative Monitoring for Enhanced Equity (TransMonEE)",NA,NA,"No"
"36",236,"Armenia","ARM","AM",1995,38.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earnings","Earnings, gross","No adjustment","No adjustment","Person","Person","All","All","Economically active","Employed","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,0.00246361042107208,NA,NA,3008,3217349,NA,"Average",5,"United Nations","UNICEF 2004","Transformative Monitoring for Enhanced Equity (TransMonEE)",NA,NA,"No"
"37",238,"Armenia","ARM","AM",1996,61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.29,36.51,6.87,1.8,5.07,9.48,17.93,65.71,0.52,1.28,2.09,2.98,4.04,5.45,7.43,10.5,15.67,50.05,NA,NA,"Income (net)","Income, net","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",153348,NA,"Armenian dram","Month",0.00241521683212915,NA,NA,3234,3168213,NA,"Average",13,"World Bank","Deininger and Squire, World Bank 2004","World Bank. Compilation","Household Budget Survey",NA,"No"
"38",241,"Armenia","ARM","AM",1998,55.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.72,22.52,9.58,2.69,6.89,11.33,18.49,60.59,0.75,1.94,2.97,3.93,5.01,6.33,7.98,10.5,15.42,45.17,NA,NA,"Income (gross)","Income, gross","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",157190,NA,"Armenian dram","Month",0.00198053137656833,NA,NA,3654,3108691,NA,"Average",13,"World Bank","Deininger and Squire, World Bank 2004","World Bank. Compilation","Armenian Household Living Standard Survey",NA,"No"
"39",243,"Armenia","ARM","AM",1999,36.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,5.84,19.15,7.56,11.59,15.44,21.24,44.18,3.04,4.52,5.4,6.19,7.16,8.27,9.66,11.58,14.55,29.63,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",1630,1255,"US$2011PPP","Year",NA,NA,NA,3799,3089020,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"40",244,"Armenia","ARM","AM",2000,48.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Earnings","Earnings, gross","No adjustment","No adjustment","Person","Person","All","All","Economically active","Employed","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",NA,NA,NA,NA,0.00185347936691323,NA,NA,4048,3069597,NA,"Average",5,"United Nations","UNICEF 2004","Transformative Monitoring for Enhanced Equity (TransMonEE)",NA,NA,"No"
"41",245,"Armenia","ARM","AM",2001,35.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48,5.68,19.61,7.73,11.88,15.63,20.86,43.91,3.19,4.54,5.49,6.4,7.32,8.31,9.52,11.34,14.81,29.1,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",1549,1205,"US$2011PPP","Year",NA,NA,NA,4464,3050686,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"42",247,"Armenia","ARM","AM",2002,34.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44,5.4,20.08,8.05,12.03,15.6,20.82,43.51,3.34,4.71,5.6,6.43,7.31,8.28,9.53,11.29,14.51,29,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",1625,1264,"US$2011PPP","Year",NA,NA,NA,5082,3033976,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"43",250,"Armenia","ARM","AM",2003,33.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,4.87,21.11,8.66,12.45,15.94,20.79,42.16,3.68,4.98,5.83,6.61,7.49,8.45,9.57,11.22,13.96,28.2,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",1670,1332,"US$2011PPP","Year",NA,NA,NA,5824,3017938,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
"44",252,"Armenia","ARM","AM",2004,37.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,6.03,19.06,7.59,11.47,14.98,20.19,45.77,3.08,4.51,5.33,6.15,7.02,7.97,9.25,10.94,14.08,31.69,NA,NA,"Consumption","Consumption","Per capita","Per capita","Household","Person","All","All","All","All","Asia","Western Asia","Europe and Central Asia","Non-EU","Non-OECD","Upper middle income",2070,1543,"US$2011PPP","Year",NA,NA,NA,6472,3000715,"New 2021","Average",13,"World Bank","PovcalNet",NA,NA,"http://iresearch.worldbank.org/PovcalNet/povOnDemand.aspx","Yes"
